movieId,count,unique_users,last_timestamp,score,item_idx,title,genres
2858,3428,3428,1046368290,3428.0,61,American Beauty (1999),Comedy|Drama
260,2991,2991,1045895920,2991.0,9,Star Wars, Episode IV - A New Hope (1977)
1196,2990,2990,1046368417,2990.0,78,Star Wars, Episode V - The Empire Strikes Back (1980)
1210,2883,2883,1045710520,2883.0,54,Star Wars, Episode VI - Return of the Jedi (1983)
480,2672,2672,1044566583,2672.0,134,Jurassic Park (1993),Action|Adventure|Sci-Fi
2028,2653,2653,1045711573,2653.0,16,Saving Private Ryan (1998),Action|Drama|War
589,2649,2649,1044565886,2649.0,130,Terminator 2, Judgment Day (1991)
2571,2590,2590,1044565886,2590.0,131,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1270,2583,2583,1046022616,2583.0,2,Back to the Future (1985),Comedy|Sci-Fi
593,2578,2578,1045862573,2578.0,65,"Silence of the Lambs, The (1991)",Drama|Thriller
1580,2538,2538,1045440540,2538.0,186,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
1198,2514,2514,1044900921,2514.0,53,Raiders of the Lost Ark (1981),Action|Adventure
608,2513,2513,1044567772,2513.0,13,Fargo (1996),Crime|Drama|Thriller
2762,2459,2459,1045862546,2459.0,29,"Sixth Sense, The (1999)",Thriller
110,2443,2443,1045440311,2443.0,72,Braveheart (1995),Action|Drama|War
2396,2369,2369,1044901328,2369.0,123,Shakespeare in Love (1998),Comedy|Romance
1197,2318,2318,1046107406,2318.0,38,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
527,2304,2304,1045440283,2304.0,41,Schindler's List (1993),Drama|War
1617,2288,2288,1044567383,2288.0,267,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1265,2278,2278,1045896006,2278.0,126,Groundhog Day (1993),Comedy|Romance
1097,2269,2269,1044567587,2269.0,24,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
2628,2250,2250,1046107231,2250.0,164,Star Wars, Episode I - The Phantom Menace (1999)
2997,2241,2241,1044565509,2241.0,198,Being John Malkovich (1999),Comedy
318,2227,2227,1044900818,2227.0,60,"Shawshank Redemption, The (1994)",Drama
858,2223,2223,1045763896,2223.0,552,"Godfather, The (1972)",Action|Crime|Drama
356,2194,2194,1045711600,2194.0,125,Forrest Gump (1994),Comedy|Romance|War
2716,2181,2181,1044565611,2181.0,238,Ghostbusters (1984),Comedy|Horror
296,2171,2171,1045711513,2171.0,270,Pulp Fiction (1994),Crime|Drama
1240,2098,2098,1044567573,2098.0,214,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1,2077,2077,1045710680,2077.0,42,Toy Story (1995),Animation|Children's|Comedy
1214,2024,2024,1045440408,2024.0,213,Alien (1979),Action|Horror|Sci-Fi|Thriller
2916,1996,1996,1045440497,1996.0,136,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
457,1995,1995,1045712148,1995.0,129,"Fugitive, The (1993)",Action|Thriller
3578,1924,1924,1046369670,1924.0,97,Gladiator (2000),Action|Drama
1200,1820,1820,1044565886,1820.0,740,Aliens (1986),Action|Sci-Fi|Thriller|War
541,1800,1800,1045268202,1800.0,564,Blade Runner (1982),Film-Noir|Sci-Fi
2987,1799,1799,1042391602,1799.0,258,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir
1259,1785,1785,1045159762,1785.0,87,Stand by Me (1986),Adventure|Comedy|Drama
50,1783,1783,1045763896,1783.0,271,"Usual Suspects, The (1995)",Crime|Thriller
34,1751,1751,1044567174,1751.0,286,Babe (1995),Children's|Comedy|Drama
2791,1731,1731,1046110855,1731.0,34,Airplane! (1980),Comedy
780,1730,1730,1044984283,1730.0,152,Independence Day (ID4) (1996),Action|Sci-Fi|War
3175,1728,1728,1043782380,1728.0,739,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
1193,1725,1725,1043211095,1725.0,11,One Flew Over the Cuckoo's Nest (1975),Drama
919,1718,1718,1044900829,1718.0,12,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
924,1716,1716,1046368462,1716.0,743,2001, A Space Odyssey (1968)
1127,1715,1715,1046367898,1715.0,220,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
2355,1703,1703,1044901097,1703.0,49,"Bug's Life, A (1998)",Animation|Children's|Comedy
1387,1697,1697,1045000037,1697.0,209,Jaws (1975),Action|Horror
1221,1692,1692,1045763896,1692.0,430,Godfather," Part II, The (1974)"
912,1669,1669,1045895818,1669.0,386,Casablanca (1942),Drama|Romance|War
1036,1666,1666,1046388675,1666.0,216,Die Hard (1988),Action|Thriller
1213,1657,1657,1043023261,1657.0,63,GoodFellas (1990),Crime|Drama
1610,1652,1652,1044567900,1652.0,135,"Hunt for Red October, The (1990)",Action|Thriller
377,1650,1650,1044900559,1650.0,363,Speed (1994),Action|Romance|Thriller
1291,1628,1628,1044153886,1628.0,183,Indiana Jones and the Last Crusade (1989),Action|Adventure
2000,1627,1627,1042211333,1627.0,580,Lethal Weapon (1987),Action|Comedy|Crime|Drama
1136,1599,1599,1044900986,1599.0,196,Monty Python and the Holy Grail (1974),Comedy
3114,1585,1585,1045710680,1585.0,33,Toy Story 2 (1999),Animation|Children's|Comedy
1307,1568,1568,1043784086,1568.0,520,When Harry Met Sally... (1989),Comedy|Romance
1704,1548,1548,1045710427,1548.0,278,Good Will Hunting (1997),Drama
1721,1546,1546,1044900606,1546.0,3,Titanic (1997),Drama|Romance
1968,1539,1539,1042222196,1539.0,90,"Breakfast Club, The (1985)",Comedy|Drama
648,1527,1527,1044567491,1527.0,147,Mission, Impossible (1996)
2599,1522,1522,1044565580,1522.0,230,Election (1999),Comedy
3793,1511,1511,1046369710,1511.0,259,X-Men (2000),Action|Sci-Fi
32,1511,1511,1045711057,1511.0,307,Twelve Monkeys (1995),Drama|Sci-Fi
2174,1495,1495,1044567032,1495.0,624,Beetlejuice (1988),Comedy|Fantasy
2797,1491,1491,1046009947,1491.0,27,Big (1988),Comedy|Fantasy
2918,1473,1473,1044567212,1473.0,31,Ferris Bueller's Day Off (1986),Comedy
2291,1473,1473,1044066766,1473.0,301,Edward Scissorhands (1990),Drama|Romance
590,1451,1451,1045440226,1451.0,101,Dances with Wolves (1990),Adventure|Drama|Western
